objectid,collectionid,display_template,parentid,pres_file,sequence,filename,newphoto_filename,object_location,juxt_object_location,image_alt_text,image_small,juxt_image_small,image_thumb,juxt_image_thumb,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes,start_date,end_date,timeline_title,timeline_text
parkscentennial000,parkscentennial,image,,RS025-001-000-001B1F1i001.tif,0,rs025-001-000-001b1f1i001.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/rs025-001-000-001b1f1i001.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs025-001-000-001b1f1i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs025-001-000-001b1f1i001_th.jpg,,,,Sketch of proposed library building,,,,,RS 25/1/0/1,"Annual Reports, 1903-2011",,https://n2t.net/ark:/87292/w90370,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Proudfoot & Bird Architects,https://digital.lib.iastate.edu/isulv/items/isun0362.html,,,,,"Proudfoot, William T.; Bird, George W.",https://digital.lib.iastate.edu/isulv/items/isun0363.html; https://digital.lib.iastate.edu/isulv/items/isun0364.html,,,"By 1903, a new request for a standalone library building was being made by President Albert Boynton
Storms. Increased use of the library had seen students using window sills as desks, and preventing the
collection from fires were frequently cited as reasons for a new building. President Storms reached out
to architectural firm Proudfoot and Bird seeking input on the design and cost of a new building. William
T. Proudfoot provided a basic sketch and suggested the building would cost $80,000. In 1911, the
legislature allocated $225,000 for a new library, but movement would be slow in planning the new
building. The library remained in Morrill Hall for two more years.",,zxx; eng,1900s,,,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,Library buildings--Planning,http://id.worldcat.org/fast/997663,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,WGS 84,,,,1 drawing,,,architectural drawings (visual works),http://vocab.getty.edu/aat/300034787,Text;Image,image/jpeg,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1903,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,1922,1923,New Library Building Design,"Design of a new library was completed by Proudfoot and Bird for a three-story, 51,853 square foot building. The Board approved these architectural plans in September, and in October 1922, work began to prepare the site for construction with the removal of trees followed by excavation. Foundation was poured in spring 1923, and the installation of ironwork for the stuperstructure began."
parkscentennial001,parkscentennial,image,,RS005-006-A-Box422i001.tif,0,rs005-006-a-box422i001.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/rs005-006-a-box422i001.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs005-006-a-box422i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs005-006-a-box422i001_th.jpg,,,,Photograph of Betty Wells during the WOI Radio Book Club,,,,,RS 5/6/A,Iowa State University. WOI Radio and Television records,,https://n2t.net/ark:/87292/w9kj4m,,,422,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,"Wells, Betty",https://digital.lib.iastate.edu/isulv/items/isun0365.html,,,"Shortly after the new library opened, WOI radio listeners began making requests for programming
related to books and music. In the fall of 1925, library staff began ten-minute book reviews over the radio. Popularity saw the program grow to daily readings by 1928, and in 1930, a new program was launched with expanded programming. Interest continued to grow from the general public, and soon, demands for borrowing books started coming in. As a result, the library launched what is believed to be the first Radio Book Club in the nation. Twenty coupons could be purchased for $3, with one coupon equaling the rental of one book. By June 1932, this service saw the lending of 4,500 books.",,zxx,1930s,,,"WOI (Radio station : Ames, Iowa)",http://id.loc.gov/authorities/names/n88027187,Radio broadcasting; Book review radio programs,http://id.worldcat.org/fast/1087224; http://id.worldcat.org/fast/836230,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1939,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,1925,,WOI,"WOI and the Library launched expanded programming, which eventually evolved into what is believed to be the first Radio Book Club in the nation"
parkscentennial002,parkscentennial,image,,RS004-008-H-B167F1i001.tif,0,rs004-008-h-b167f1i001.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/rs004-008-h-b167f1i001.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs004-008-h-b167f1i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs004-008-h-b167f1i001_th.jpg,,,,Photograph of students in Beardshear Reading Room,,,,,RS 4/8/H,Iowa State University. Facilities Planning and Management records,,https://n2t.net/ark:/87292/w9cx82,,,167,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"In 1913, the library was moved from Morrill Hall to the Main Building, as the fireproof building would provide better protection for the collections. The library took up extensive space on the west side of both the ground and first floors, but still did not provide adequate space for books or study. This resulted in the creation of departmental libraries around campus.",,zxx,1910s,,,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,College students; Reading rooms,http://id.worldcat.org/fast/867976; http://id.worldcat.org/fast/1090833,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1917-02-24,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,1913,,Central Building,Library is moved to Central Building (Beardsheer Hall).
parkscentennial003,parkscentennial,pdf,,rs025-001-003-b8f14.pdf,0,rs025-001-003-b8f14.pdf,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-003-b8f14.pdf,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs025-001-003-b8f14i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs025-001-003-b8f14i001_th.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-003-b8f14.pdf,Iowa State College Service Report,,,,,RS 25/1/3,Administrative Records,,https://n2t.net/ark:/87292/w9028ph5f,,,8,14,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Brown, Charles Harvey, 1875-1960",http://id.loc.gov/authorities/names/n83825957,,,,,,,,,,,"An undergraduate course in library instruction has been required for freshmen since 1891. In 1925, Dean Charles Brown launched a graduate-level library instruction course that was an elective for students. The course was titled Bibliographic Research and listed as Lib 12. It was designed to help graduate students locate printed materials and prepare bibliographies. The course met for four hours once a week and was taught until 1970.",,eng,1920s,"Brown, Charles Harvey, 1875-1960",http://id.loc.gov/authorities/names/n83825957,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,Library education; Curriculum planning,http://id.worldcat.org/fast/997713; http://id.worldcat.org/fast/885382,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,2 pages,,,administrative reports,http://vocab.getty.edu/aat/300027268,Text,application/pdf,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1929-01-14,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,,,,
parkscentennial004,parkscentennial,pdf,,rs025-001-019b2f1i001.pdf,0,rs025-001-019b2f1i001.pdf,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-019b2f1i001.pdf,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs025-001-019b2f1i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs025-001-019b2f1i001_th.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-019b2f1i001.pdf,Charles H. Brown letter to Dean R. E. Buchanan,,,,,RS 25/1/19,Charles Harvey Brown papers,,https://n2t.net/ark:/87292/w9b51h,,,2,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Brown, Charles Harvey, 1875-1960",http://id.loc.gov/authorities/names/n83825957,,,,,,,,,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,"With an eye to expand and enrich the library’s holdings, Dean Brown worked extensively to develop an exchange program with libraries around the world to bring in scientific serials. He forged agreements with the Directors of the Agricultural and Engineering Experiment Stations and the editors of the Iowa State Journal of Science and the Proceedings of the Iowa Academy of Science to provide copies of publications in exchange for scientific and technical publications with libraries across the world. The program grew to include over 1,200 institutions, both at home and abroad, and saw the library’s prestige grow to be among the top research libraries in the country.",,eng,1930s,"Buchanan, R. E. ; Brown, Charles Harvey, 1875-1960",https://digital.lib.iastate.edu/isulv/items/isun0366.html; http://id.loc.gov/authorities/names/n83825957,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,Academic libraries--Collection development; Exchange of publications,http://id.worldcat.org/fast/795018; http://id.worldcat.org/fast/1715725,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,1 page,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,application/pdf,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1934-01-02,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,,,,
parkscentennial005,parkscentennial,pdf,,rs025-001-010b1f1.pdf,0,rs025-001-010b1f1.pdf,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-010b1f1.pdf,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs025-001-010b1f1i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs025-001-010b1f1i001_th.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-010b1f1.pdf,"List of books read over WOI Radio, 1927–1937",,,,,RS 25/1/10,"Radio Program Records, 1927-1961, Undated",,https://n2t.net/ark:/87292/w90c4sj47,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Shortly after the new library opened, WOI radio listeners began making requests for programming related to books and music. In the fall of 1925, library staff began ten-minute book reviews over the radio. Popularity saw the program grow to daily readings by 1928, and in 1930, a new program was launched with expanded programming. Interest continued to grow from the general public, and soon, demands for borrowing books started coming in. As a result, the library launched what is believed to be the first Radio Book Club in the nation. Twenty coupons could be purchased for $3, with one coupon equaling the rental of one book. By June 1932, this service saw the lending of 4,500 books.",,eng,1920s; 1930s,,,"WOI (Radio station : Ames, Iowa)",http://id.loc.gov/authorities/names/n88027187,Radio programs; Books and reading,http://id.worldcat.org/fast/1087512; http://id.worldcat.org/fast/836454,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,4 pages,,,reading lists,http://vocab.getty.edu/aat/300027166,Text,application/pdf,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1927/1937,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,,,,
parkscentennial006,parkscentennial,pdf,,rs025-001-019b4f4i001.pdf,0,rs025-001-019b4f4i001.pdf,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-019b4f4i001.pdf,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs025-001-019b4f4i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs025-001-019b4f4i001_th.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-019b4f4i001.pdf,Program for the dedication ceremonies of the Iowa State College Library,,,,,RS 25/1/19,Charles Harvey Brown papers,,https://n2t.net/ark:/87292/w9b51h,,,4,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"The College hosted dedication ceremonies for the new Library on January 21, 1926, in the State Gymnasium. Invitations were extended to all land grant universities and colleges, all public libraries in the state of Iowa, all colleges and universities in the state of Iowa, Iowa members of the US Congress, members of the State of Iowa Legislature, early graduates of the college, and a number of other colleges and libraries from around the country. Approximately 2,500 people attended the ceremony, followed by a luncheon for invited guests and an open house and reception in the new building.",,eng,1920s,,,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,Dedication services,http://id.worldcat.org/fast/889450,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,1 page,,,dedication copies,http://vocab.getty.edu/aat/300265562,Text,application/pdf,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1926-01-21,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,1926-01-21,,New Library Dedication,The College hosted a formal dedication ceremony in State Gymnasium for the new library.
parkscentennial007,parkscentennial,pdf,,rs002-005-b1f2i001.pdf,0,rs002-005-b1f2i001.pdf,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs002-005-b1f2i001.pdf,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs002-005-b1f2i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs002-005-b1f2i001_th.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs002-005-b1f2i001.pdf,President's report to Board of Trustees,,,,,RS 2/5,William Miller Beardshear papers,,https://n2t.net/ark:/87292/w9x483,,,1,2,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Fanny Thomas was appointed Librarian in November 1890 by the Board of Trustees, who approved her recommendation for a course in library instruction during the second semester of freshman year. Rhetoric was reduced from 4 to 3 hours to accommodate this change, and a 1-hour course in Library Work was added. The course covered four major subjects: How to Use the Library; The Classification and Best Reference Books in Each Class; The Best General Reference Books and Their Use; Books and How to Read Them. The course was first taught during the fall of 1891, and though the content and course number have changed over the years, undergraduates are still required to take a library course.",,eng,1890s,,,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,Library education; Curriculum planning,http://id.worldcat.org/fast/997713; http://id.worldcat.org/fast/885382,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,1 page,,,administrative reports,http://vocab.getty.edu/aat/300027268,Text,application/pdf,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1891-06,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,1890-11,1891,New Librarian,"Fanny Thomas is appointed as Librarian.  In fall 1891, a 1-hour course in Library Work is first taught. Though the content and course number have changed over the years, undergraudates are still required to take a library course."
parkscentennial008,parkscentennial,pdf,,rs025-001-003-b5f16i.pdf,0,rs025-001-003-b5f16i.pdf,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-003-b5f16i.pdf,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs025-001-003-b5f16i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs025-001-003-b5f16i001_th.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-003-b5f16i.pdf,"Cataloging Department report, July 16, 1926",,,,,RS 25/1/3,Administrative Records,,https://n2t.net/ark:/87292/w9028ph5f,,,5,16,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Spencer, Robinson; Winter, Ralph M.",https://digital.lib.iastate.edu/isulv/items/isun0367.html; https://digital.lib.iastate.edu/isulv/items/isun0368.html,,,,,,,,,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,"In 1925, the library instituted the Library of Congress classification system. This saw any new acquisition being cataloged in this system while also reclassifying the current holdings from the Dewey Decimal System. This work was done when time and staff availability allowed, which resulted in the project running until 1963.",,eng,1920s,,,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,Library catalogs,http://id.worldcat.org/fast/997669,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,3 pages,,,administrative reports,http://vocab.getty.edu/aat/300027268,Text,application/pdf,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1926-07-16,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,,,,
parkscentennial009,parkscentennial,pdf,,rs025-001-003-b12f24i001.pdf,0,rs025-001-003-b12f24i001.pdf,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-003-b12f24i001.pdf,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/small/rs025-001-003-b12f24i001_sm.jpg,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/thumbs/rs025-001-003-b12f24i001_th.jpg,,,https://digital.lib.iastate.edu/exhibits/objects/parkscentennial/pdf/rs025-001-003-b12f24i001.pdf,"Charles H. Brown letter to President Raymond M. Hughes, November 29, 1929",,,,,RS 25/1/3,Administrative Records,,https://n2t.net/ark:/87292/w9028ph5f,,,12,24,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Brown, Charles Harvey, 1875-1960",http://id.loc.gov/authorities/names/n83825957,,,,,,,,,,,Correspondence to President R.M. Hughes from Dean Brown about library storage space concerns and the possibility of storing materials in the Memoroial Union.,,eng,1920s,"Hughes, Raymond M. (Raymond Mollyneaux), 1873-1958; Brown, Charles Harvey, 1875-1960",http://id.loc.gov/authorities/names/no96056380; http://id.loc.gov/authorities/names/n83825957,Iowa State College. Library,http://id.loc.gov/authorities/names/n82161013,Library materials--Storage; Library shelving,http://id.worldcat.org/fast/997824; http://id.worldcat.org/fast/997994,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.61994,WGS 84,,,,1 page,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,application/pdf,"This complex item has mixed rights protection. For portions where Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. Other portions are protected by copyright and related rights. You are free to use these items in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",https://creativecommons.org/licenses/by-nc/4.0/; http://rightsstatements.org/vocab/InC/1.0/,1929-11-29,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,The Heart of the University,https://n2t.net/ark:/87292/w90k1j,,,Reformatted digital; Digitized with Plustek OpticBook A300,,,,,
